Maron Greyjoy;312;2024
Pate the Pig Boy;3;416
Old Grey Gull;277;997
Reysen;343;119
Joramun;291;1255
Edderion Stark;401;46
Tremond Gargalen;437;963
Harma;233;2240
Emmon Frey;112;605
Olyvar Martell;57;1489
Orton Merryweather;271;2472
Gilbert Farring;99;358
Lorimer;389;404
Rigney;161;675
Belgrave;162;2259
Robert Frey;468;1539
Plummer;476;2823
Osmynd;159;888
Edmure Tully;423;1090
Royce Coldwater;333;1243
Josmyn Peckledon;147;655
Daeron I Targaryen;15;762
Cassana Estermont;479;2984
Aegon IV Targaryen;124;1714
Dryn;110;1357
Gilly;429;2073
Dunstan Drumm;402;86
Mark Ryswell;117;1771
Edrick Stark;63;2177
Jaime Frey;292;1642
Domeric Bolton;34;230
Elyana Vypren;447;39
Waltyr Frey;436;2893
Urron Greyiron;29;2217
Raynard Ruttiger;141;2724
Beth Cassel;454;2262
Alyx Frey;452;2932
Tommen II Lannister;42;2131
Andros Brax;75;661
Leyton Hightower;16;354
Bryen Caron;165;1820
Galtry the Green;31;2703
Simon Leygood;424;1644
Durran;446;689
Quentyn Ball;252;1171
Ronnel Stout;131;101
Gilwood Hunter;267;1460
Ben Beesbury;167;2611
Lucas Corbray;462;2481
Garin;398;1361
Ghael;449;2538
Addam Marbrand;160;2962
Wilbert Osgrey;396;2897
Benfred Tallhart;350;1588
Kyle Condon;407;2761
Rufus Leek;391;1062
Dunaver;289;1720
Mathis Frey;328;2752
Orland;381;2058
Amerei Frey;80;2120
Eustace Osgrey;341;1683
Alfyn Crowkiller;223;40
Carrot;465;2714
Janei Lannister;53;1486
Hotho Harlaw;44;569
Rodrik Stark;38;2222
Sigrin;345;432
Marwyn Belmore;428;491
Jate;21;2640
Jyzene;323;619
Rodrik Cassel;144;1468
Quellon Botley;108;2376
Lyessa Flint;95;1399
Dorcas;84;2043
Lucas Blackwood;230;2631
Orell;107;480
Irri;88;822
Lothor Brune;142;1575
Jeyne Fossoway;180;2440
Clarence Crabb;45;711
Sigorn;490;717
Theodore Tyrell;287;1245
Mors Martell;220;2148
Leo Tyrell;442;1952
Nella;19;2290
Timett;208;2115
Anya Waynwood;30;1941
Yohn Royce;155;516
Eyron Stark;478;2784
Edmund Ambrose;382;2207
Godwyn;329;320
Herbert Bolling;173;1745
Jon Vance;369;2615
Arys Oakheart;212;1956
Hoster Frey;203;2067
Robin Moreland;434;163
Lyonel Tyrell;66;515
Yoren;497;1214
Thomax;98;2889
Barba Bracken;52;2243
Harodon;422;787
Gyles;97;79
Myrcella Baratheon;385;1288
Fern;286;153
Kurz;156;2431
Harlon Botley;39;1535
Rolfe;177;111
Margot Lannister;254;2369
Lenwood Tawney;364;2341
Stiv;56;955
Aggo;500;417
Manfryd Yew;441;464
Rhaenys Targaryen;28;1313
Joy Hill;253;1826
Walder Vance;388;2100
Wylis Manderly;371;1833
Aenys Frey;346;686
Dacey Mormont;197;2612
Damon Paege;488;2944
Hobber Redwyne;46;2044
Hostella Frey;473;530
Ironbelly;193;1346
Theodan Wells;188;1359
Lysa Meadows;362;2810
Garth Gardener;460;1506
Cosgrove;14;1248
Armond Caswell;246;2529
Alia Of Braavos;498;2328
Edwyn Frey;421;279
Vylarr;355;1890
Tya Lannister;217;1058
Sansa Stark;72;2864
Joseran;466;1189
Myria Jordayne;487;2547
Clayton Suggs;214;2373
Masha Heddle;435;2451
Mhaegan;209;793
Byren Flowers;485;2449
Jonella Cerwyn;406;887
Garlan Tyrell;298;719
Borcas;359;1529
Ryam Florent;157;3000
Qarl;189;2552
Talbert Serry;353;840
Patrek Vance;222;83
Patchface;409;470
Jorquen;127;242
Eldred Codd;85;418
Vaellyn;126;1277
Garse Goodbrook;4;1175
Lester Morrigen;300;2503
Ryella Royce;195;1367
Harlan Grandison;105;2584
Creighton Longbough;92;2204
Eden Risley;418;2670
Quaro;48;1708
Oro Tendyris;377;820
Gawen Swann;90;1970
Allard Seaworth;281;977
Helicent Uffering;319;1092
Harwyn Hoare;491;615
Jason Mallister;276;1448
Quentyn Blackwood;290;1328
Sarra Frey;357;2501
Harwood Stout;338;2787
Mathis Rowan;55;2448
Kirth Vance;448;1671
Edmyn Tully;226;627
Gareth Clifton;304;1944
Ned;467;2926
Karl;257;813
Urzen;169;392
Hake;152;492
Tommen Costayne;308;1446
Tyrion Waters;17;984
Cyrenna Swann;175;2815
Halder;50;2421
Farlen;218;2172
Naerys Targaryen;176;952
Jory Cassel;37;181
Jaqen Hghar;268;377
Elbert Arryn;347;1557
Antario Jast;419;2680
Beony Beesbury;138;1617
Daario Naharis;342;1162
Theobald;135;1819
Gendry;65;1902
Bayard Norcross;181;325
Cedra;93;671
Grazdan mo Ullhor;330;241
Shagwell;296;1482
Dafyn Vance;201;1100
Denyo Terys;395;1067
Bessa;60;2659
Alyn Frey;307;916
Rafford;13;706
Robin Ryger;187;2133
Aegon V Targaryen;372;2982
Torrhen Karstark;316;1387
Melwys Rivers;351;246
Lady Of the Leaves;67;2482
Ronald Vance;248;1581
Rhaego;461;924
Pate Of the Blue Fork;213;1733
Olymer Tyrell;6;848
Arlan Of Pennytree;178;205
Tom Too;86;529
Matrice;102;716
Cuger;325;178
Nan;168;1766
Lucas Lothston;228;1194
Walton;194;1212
Creighton Redfort;235;1223
Ygon Farwynd;484;304
Colemon;375;2208
Salladhor Saan;348;1410
Terrence Kenning;8;2722
Theomore Harlaw;74;1031
Collio Quaynis;41;1711
Dareon;150;659
Rupert Crabb;136;212
Lucas Nayland;258;1786
Myles Manwoody;400;775
Errok;459;2033
Hother Umber;24;1656
Endrew Tarth;390;2235
Ulf;164;133
Timon;450;2485
Tregar Ormollen;266;968
Steffon Stackspear;386;949
Bryen Farring;229;1161
Alysanne Lefford;480;2875
Lenn;464;1456
Ronel Rivers;471;148
Baelor Hightower;215;2939
Khorane Sathmantes;426;398
Mellario Of Norvos;335;656
Preston Greenfield;249;1392
Helliweg;59;2813
Ryger Rivers;310;2532
Cleon;186;2048
Denyse Hightower;412;1447
Joanna Swyft;474;1816
Illyrio Mopatis;35;2518
Lord Caswell;191;60
Stygg;251;286
Andrey Dalt;73;1437
Erreck;472;2269
Roger Ryswell;373;2461
Edgerran Oakheart;174;2560
Omer Florent;64;1747
Quenton Greyjoy;9;61
Harrion Karstark;58;2959
Kurleket;202;895
Jon Bettley;339;2912
Moon Boy;27;850
Perwyn Osgrey;397;2832
Dorren Stark;315;1851
C;360;1272
Jorelle Mormont;118;938
Wendell Webber;499;1614
Kyra;334;2102
Mya Stone;1;2771
Ogo;77;2559
Daven Lannister;122;1562
Lucas Inchfield;272;586
Lyanna Stark;274;2393
Ralf Kenning;207;1134
Serala;309;1385
Grisel;256;258
Donnor Saltcliffe;469;1043
Axell Florent;183;1670
Joffrey Caswell;411;1462
Osric Stark;356;553
Baelor I Targaryen;327;1458
Garth XII Gardener;22;672
Brandon Tallhart;486;1687
Alyse Ladybright;83;1218
Cotter Pyke;361;1684
Esgred;111;2986
Lormelle Long Lance;283;1471
Blane;18;1649
Arson;457;2636
Orivel;132;2228
Bryan Frey;89;2466
Godric Borrell;146;2011
Elia Martell;199;1578
Ulwyck Uller;376;1047
Gran Goodbrother;184;2617
Andrew Estermont;285;687
Hop Robin;145;1773
Viserys II Targaryen;245;631
Rodrik Harlaw;158;1225
Umma;275;537
Gueren;115;495
Shagga;221;588
Clement Piper;492;2038
Ethan Glover;47;1168
Chella;185;1828
Salloreon;443;2894
Ravella Swann;134;1606
Tuffleberry;7;2614
Softfoot;295;1380
Smiling Knight;313;1110
Otho Bracken;404;17
Kennos Of Kayce;305;1668
Walder Brax;78;961
Turquin;200;1965
Jasper Redfort;113;2203
Jon Stark;190;763
Jon Lynderly;365;1835
Creylen;489;448
Otter Gimpknee;416;420
Ralf;10;482
Tybolt Lannister;25;1173
Robin Hill;123;453
Sedgekins;196;2691
Baelor Blacktyde;413;1114
Stafford Lannister;321;10
Koss;431;1368
Edric Storm;224;919
Hilmar Drumm;182;1638
Jon Umber;153;2396
Harwin;23;1580
Rolph Spicer;458;1042
Dilly;40;956
Sand Snakes;456;791
Vayon Poole;33;816
Lyonel Selmy;250;468
Andar Royce;236;851
Noho Dimittis;483;481
Nestor Royce;317;1217
Jon Waters;143;2071
Patrek Mallister;336;1469
Sarya Whent;101;2479
Cedric Payne;337;1091
Gendel;103;1298
Lymond Lychester;387;2089
Nymos;284;2097
Cetheres;106;1418
Lorent Tyrell;393;2195
Renly Norcross;2;1106
Leo Lefford;440;673
Steffon Varner;332;1442
Bryen;320;2835
Clifford Conklyn;151;1801
Ilyn Payne;380;2919
Rhialta Vance;148;2673
Roone;237;2602
Matthos Seaworth;81;277
Beardless Dick;282;188
Tyene Sand;262;676
Amarei Crakehall;243;399
Willamen Frey;119;2914
Lister;62;2493
Todric;227;2947
Jon Penrose;49;131
Gerold Lannister;130;469
Humfrey Hardyng;192;2039
Rodrik Flint;100;182
Manfryd Lothston;137;356
Jeyne Swann;231;665
Wyl;116;925
Galladon Of Tarth;244;1605
Deziel Dalt;68;478
Garrett Paege;79;2505
Henk;481;235
Eroeh;494;2001
Steffon Baratheon;170;440
Jeyne Fowler;20;2557
Hareth;128;2885
Joyeuse Erenford;273;1795
Alleras;427;1602
Jonnel Stark;278;742
Tothmure;433;2918
Burton Crakehall;430;1156
Tommen Baratheon;378;1726
Sylwa Paege;269;1917
Hugo Vance;403;2399
Wex Pyke;344;824
Mero;444;1336
Jeren;349;995
Rodrik Freeborn;420;509
Bethany;120;1193
Aeron Greyjoy;463;1753
Vickon Greyjoy;121;2901
Andrey Charlton;453;1464
Michael Mertyns;297;2997
Obella Sand;54;1419
Gormon Tyrell;104;2339
Lew;129;1378
Damon Vypren;109;879
Qarro Volentin;242;1669
Rolder;61;194
Lenyl;352;2704
Dickon Manwoody;475;2838
Morgarth;260;411
Beck;302;1339
Ottomore;139;1524
Jon Cupps;438;1976
Jeor Mormont;149;966
Sylva Santagar;303;2572
Hibald;415;1858
Dirk;455;1643
Rodrik Ryswell;247;1860
Buford Bulwer;210;376
Areo Hotah;280;1751
Eddara Tallhart;340;2310
Rollam Westerling;264;2079
Byron;301;870
Bonifer Hasty;439;2234
Samwell Stone;265;2833
Arianne Martell;259;1830
Garth Hightower;368;2817
Yormwell;318;2354
Rakharo;392;1341
Devan Seaworth;470;2462
Lewys;96;2156
Hal;211;1147
Bennarion Botley;445;1470
Jon Pox;432;1632
Denys Arryn;205;983
Lymond Goodbrook;451;207
Manfred Swann;234;2124
Bethany Fair Fingers;331;2805
Rhea Florent;399;2571
Styr;43;2968
Robert Brax;495;1996
Dennett;263;601
Darlessa Marbrand;299;1512
Bernarr;69;2173
Balon Botley;314;371
Torrek;36;1974
Ryon Allyrion;154;414
Donnel Of Duskendale;5;696
Cersei Frey;206;559
Terrence Toyne;26;587
Robin Flint;32;1224
Urrigon Greyjoy;91;830
Erreg;239;145
Larra Blackmont;425;699
Weeper;70;2434
Galbart Glover;166;38
Jocelyn Swyft;261;555
Trebor Jordayne;482;328
Erryk;71;2906
Walder Goodbrook;232;967
Robert Baratheon;414;2385
Jyck;11;1135
Marsella Waynwood;311;781
Tytos Brax;87;2254
Godry Farring;133;1246
Roland Crakehall;216;1750
Rob;288;353
Arnell;279;2689
Toefinger;354;1631
Desmond Redwyne;241;1179
Aethelmure;417;1598
Gregor Clegane;358;2164
Roro Uhoris;172;986
Boros Blount;294;2356
Tim Stone;493;623
Myles Mooton;370;1759
Elenei;225;2080
Satin;410;1705
Tysane Frey;94;1488
Jeyne Rivers;383;2304
Harlan Hunter;384;323
Puddingfoot;204;2338
Mohor;12;382
Arneld;76;1906
Catelyn Tully;238;801
Richard Horpe;140;2492
Anvil Ryn;496;2275
Olyvar Oakheart;363;2747
Minisa Whent;379;1889
Theon Stark;240;557
Tyana Wylde;394;1818
Kaeth;82;691
Peter Plumm;322;2634
Turnip;125;2331
Gorne;306;2409
Rodrik Greyjoy;405;1265
Sleepy Jack;171;2246
Watty;114;2660
Kedge;179;2309
Beric Dondarrion;367;1227
Harbert Paege;408;2054
Joth Quickbow;51;2764
Byan Votyris;198;2998
Mors Manwoody;324;789
Trystane Martell;163;2250
Conwy;219;1015
Ellaria Sand;326;1537
Brella;346;161
Aubrey Ambrose;9;214
Tormund;249;567
Alysanne Of Tarth;46;1986
Harras Harlaw;467;25
Shyra;462;1011
Walder Rivers;188;1035
Lia Serry;327;2137
Russell Merryweather;119;1538
Jodge;477;175
Jeyne Lydden;451;2514
Nightingale;300;2580
Barth;167;2273
Omer Blackberry;55;1355
Tom Of Sevenstreams;226;664
Temmo;313;1284
Uller;343;384
Loren Lannister;179;108
Melara Hetherspoon;247;266
Alesander Frey;117;386
Groleo;420;1803
Tysha;372;2942
Branston Cuy;68;1900
Hayhead;416;2266
Lazy Leo;333;1182
Mago;339;2332
Richard Lonmouth;288;543
Pate;136;2902
Doreah;10;2221
Mariya Darry;310;35
Wat;20;2229
Dunsen;314;2862
Hoster Tully;142;1988
Willit;78;519
Yorko Terys;191;30
Alyn Stackspear;154;533
Cerrick;473;390
Corliss Penny;5;734
Jeyne Royce;140;1673
Gylbert Farwynd;307;2446
Donnel Waynwood;165;1700
Mellara Rivers;332;2585
Courtenay Greenhill;85;1334
Lanna;32;1755
Rhonda Rowan;248;2460
Loreza Sand;175;1166
Violet;265;1263
Lyanna Mormont;30;785
Garth Greenfield;160;1138
Guthor Grimm;390;2570
Janos Slynt;220;2425
Jon Fossoway;250;2596
Lyonel Frey;214;1333
Val;285;443
Roryn Drumm;95;2068
Philip Plumm;475;910
Manfrey Martell;381;2280
Maron Martell;302;288
Todder;178;701
Androw Ashford;479;1389
Morgan Dunstable;470;2077
Steffon Seaworth;268;2754
Pudding;234;2849
Shyra Errol;481;493
Delena Florent;16;743
Petyr Frey;364;1915
Medwick Tyrell;412;314
Harra;147;723
Caleotte;356;2041
Humfrey Wagstaff;264;2313
Castos;476;2193
Bryce Caron;2;1395
Jon Arryn;492;2459
Halleck;52;1592
Sandor Frey;143;2032
Hugo Wull;320;1702
Tristimun;204;534
Lewys Piper;276;773
Jon;59;49
Nymeria;350;2910
Zia Frey;450;1477
Rohanne Webber;131;609
Gynir;4;2014
Runcel Hightower;351;1999
Raymar Royce;457;1868
Dan;251;2539
Ghost Of High Heart;452;2779
Bertram Beesbury;322;1264
Beren Tallhart;271;518
Lucimore Botley;34;2289
Aegon Blackfyre;293;589
Willem Darry;196;2583
Maric Seaworth;461;284
Stone Thumbs;229;1508
Donella Manderly;189;2059
Olene Tyrell;192;2825
Mandon Moore;164;680
Nute;80;1930
Marya Seaworth;491;2948
Coldhands;12;2209
Bethany Bracken;63;1834
Maekar I Targaryen;217;1124
Brandon Stark;202;426
Kemmett Pyke;199;1466
Tybolt Crakehall;198;1388
Alyce Dunn;151;504
Greenbeard;359;2961
Arron Qorgyle;94;1172
Raymund Tyrell;430;1926
Melisandre;36;1005
Werlag;419;2218
Cleyton Caswell;110;197
Meribald;471;1443
Alyn;410;2861
Kyle;76;1652
Anguy;153;905
Lucias Vypren;65;761
Gormond Goodbrother;437;914
Rolley;93;2370
Harsley;262;1236
Davos Seaworth;24;1074
Vortimer Crane;363;1981
Humfrey Hewett;79;2569
Mad Axe;166;1663
Dake;230;721
Willis Wode;294;1821
Norne Goodbrother;337;2253
